City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hearst,49.6835,-83.6665,268.29,94,91,2.46,CA,1674356037
1,jamestown,42.097,-79.2353,272.6,65,100,3.6,US,1674355993
2,mataura,-46.1927,168.8643,285.97,92,96,3.28,NZ,1674355914
3,sharan,54.8167,54.0,259.02,87,100,2.58,RU,1674356038
4,bluff,-46.6,168.3333,287.05,81,87,5.35,NZ,1674356038
5,nambucca heads,-30.65,153.0,297.15,69,74,3.55,AU,1674356039
6,solnechnyy,50.7214,136.6319,250.13,89,100,0.62,RU,1674356040
7,ayorou,14.7308,0.9174,295.5,15,100,3.11,NE,1674356041
8,tasiilaq,65.6145,-37.6368,251.69,43,21,11.63,GL,1674356041
9,san quintin,30.4833,-115.95,286.36,57,0,2.71,MX,1674356042
10,salalah,17.0151,54.0924,291.82,53,5,2.84,OM,1674356043
11,cintalapa,16.6951,-93.7272,292.21,86,16,1.58,MX,1674356044
12,nurpur,29.15,78.4167,285.88,56,0,0.9,IN,1674356045
13,peterhead,57.5058,-1.7981,277.37,84,100,12.93,GB,1674356045
14,ambilobe,-13.2,49.05,295.32,94,93,0.11,MG,1674356046
15,rikitea,-23.1203,-134.9692,299.14,76,99,7.55,PF,1674356047
16,zyryanovsk,49.7386,84.2719,240.02,97,74,0.88,KZ,1674356047
17,ialibu,-6.2821,143.9935,294.41,67,100,1.89,PG,1674356048
18,punta arenas,-53.15,-70.9167,282.21,57,0,6.17,CL,1674356049
19,longyearbyen,78.2186,15.6401,271.06,86,75,12.35,SJ,1674356050
20,east london,-33.0153,27.9116,297.71,93,100,5.4,ZA,1674356050
21,arima,10.6333,-61.2833,296.89,73,20,1.54,TT,1674356051
22,broome,42.2506,-75.833,273.07,84,100,2.57,US,1674355962
23,souillac,-20.5167,57.5167,296.36,94,40,1.03,MU,1674356052
24,neuquen,-38.9516,-68.0591,300.09,29,0,5.66,AR,1674356053
25,avarua,-21.2078,-159.775,300.18,78,75,5.66,CK,1674355845
26,san cristobal,7.7669,-72.225,294.25,74,87,0.69,VE,1674356054
27,vestmannaeyjar,63.4427,-20.2734,275.57,86,100,14.66,IS,1674356054
28,pacific grove,36.6177,-121.9166,283.94,71,31,0.89,US,1674356055
29,ushuaia,-54.8,-68.3,280.96,71,20,8.23,AR,1674356056
30,bredasdorp,-34.5322,20.0403,292.77,77,54,2.47,ZA,1674356056
31,arraial do cabo,-22.9661,-42.0278,295.73,89,6,2.45,BR,1674355839
32,narsaq,60.9167,-46.05,252.66,67,32,4.86,GL,1674356057
33,kapaa,22.0752,-159.319,298.14,80,14,1.34,US,1674356058
34,dikson,73.5069,80.5464,254.51,93,100,11.69,RU,1674356059
35,northam,51.0333,-4.2167,277.93,82,100,4.55,GB,1674356059
36,georgetown,5.4112,100.3354,302.11,81,20,1.03,MY,1674356060
37,busselton,-33.65,115.3333,303.35,34,0,4.65,AU,1674355835
38,new norfolk,-42.7826,147.0587,294.1,57,81,0.89,AU,1674355915
39,portage,41.1667,-81.1998,273.64,68,100,0.89,US,1674356062
40,port elizabeth,-33.918,25.5701,296.54,92,40,6.69,ZA,1674355801
41,albany,42.6001,-73.9662,272.92,79,100,0.47,US,1674356063
